education,gender,nuts1,parameter_set,population
level_one,female,UKL,5,316053.69533289375
level_one,female,UKM,5,405086.4250072071
level_two,male,UKC,5,292476.9614184021
level_two,male,UKD,5,722643.5152146573
level_two,male,UKE,5,595905.1891998235
level_two,male,UKF,5,526768.1767659537
level_two,male,UKG,5,545430.9316405194
level_two,male,UKH,5,569535.6724360661
level_two,male,UKI,5,574198.4277580302
level_two,male,UKJ,5,879328.4817221335
level_two,male,UKK,5,609723.6554782883
level_two,male,UKL,5,322328.9127451476
level_two,male,UKM,5,580727.4794934351
level_two,female,UKC,5,239779.02676863136
level_two,female,UKD,5,647874.8766716915
level_two,female,UKE,5,496649.2419225563
level_two,female,UKF,5,460017.6196064329
level_two,female,UKG,5,473054.8641406607
level_two,female,UKH,5,535508.8424996723
level_two,female,UKI,5,559471.6606703539
level_two,female,UKJ,5,765466.3432316667
level_two,female,UKK,5,539770.8366645713
level_two,female,UKL,5,260013.65605828693
level_two,female,UKM,5,433166.19948079705
level_three,male,UKC,5,165382.26891592485
level_three,male,UKD,5,499459.1838598063
level_three,male,UKE,5,401785.89118617907
level_three,male,UKF,5,366506.75003441103
level_three,male,UKG,5,387520.54803849483
level_three,male,UKH,5,419673.3748673588
level_three,male,UKI,5,592206.1192369856
level_three,male,UKJ,5,608303.3546596619
level_three,male,UKK,5,384902.82489904127
level_three,male,UKL,5,228303.17245595672
level_three,male,UKM,5,449595.8128769181
level_three,female,UKC,5,180511.94720582193
level_three,female,UKD,5,460975.5342471061
level_three,female,UKE,5,374748.0062884146
level_three,female,UKF,5,349229.85576457897
level_three,female,UKG,5,389747.63669193565
level_three,female,UKH,5,425774.5854472241
level_three,female,UKI,5,598551.4066084068
level_three,female,UKJ,5,617711.6494041239
level_three,female,UKK,5,384988.02631530684
level_three,female,UKL,5,227628.37021482622
level_three,female,UKM,5,513405.53494548716
level_four,male,UKC,5,228483.3918462697
level_four,male,UKD,5,697886.6425556359
level_four,male,UKE,5,479217.5486311291
level_four,male,UKF,5,403888.6177588978
level_four,male,UKG,5,522531.20751136367
level_four,male,UKH,5,655081.3822803035
level_four,male,UKI,5,1565594.893451637
level_four,male,UKJ,5,1104614.391798069
level_four,male,UKK,5,602081.3746373696
level_four,male,UKL,5,286660.3645220095
level_four,male,UKM,5,563239.6824494429
level_four,female,UKC,5,266174.16228030086
level_four,female,UKD,5,808982.4474330848
level_four,female,UKE,5,550120.9288291836
level_four,female,UKF,5,461624.3068876717
level_four,female,UKG,5,595127.4047022768
level_four,female,UKH,5,684729.4567185079
level_four,female,UKI,5,1581096.8508755094
level_four,female,UKJ,5,1261956.308723122
level_four,female,UKK,5,698897.6321760892
level_four,female,UKL,5,355297.73265895713
level_four,female,UKM,5,710437.6015941278
no_qualifications,male,UKC,6,96014.52631359544
no_qualifications,male,UKD,6,276106.1487633086
no_qualifications,male,UKE,6,197654.22868989647
no_qualifications,male,UKF,6,139585.72711902924
no_qualifications,male,UKG,6,273409.5332516443
no_qualifications,male,UKH,6,185983.13436894817
no_qualifications,male,UKI,6,224329.99303650955
no_qualifications,male,UKJ,6,194627.31428376274
no_qualifications,male,UKK,6,118307.93455564749
no_qualifications,male,UKL,6,117308.17724674141
no_qualifications,male,UKM,6,213178.4244686394
no_qualifications,female,UKC,6,107372.0835848205
no_qualifications,female,UKD,6,277156.0612073325
no_qualifications,female,UKE,6,216547.55947845968
no_qualifications,female,UKF,6,149292.22028784297
no_qualifications,female,UKG,6,281993.1168708134
no_qualifications,female,UKH,6,187436.71040380176
no_qualifications,female,UKI,6,231139.74292018145
no_qualifications,female,UKJ,6,201926.8574748376
no_qualifications,female,UKK,6,113551.33626173557
no_qualifications,female,UKL,6,126052.34676416309
no_qualifications,female,UKM,6,229564.61573046015
level_one,male,UKC,6,251113.83063801608
level_one,male,UKD,6,597754.8038083735
level_one,male,UKE,6,430919.0954322333
level_one,male,UKF,6,403902.99230341247
level_one,male,UKG,6,501708.4558641989
level_one,male,UKH,6,536884.0097634092
level_one,male,UKI,6,435459.53480571625
level_one,male,UKJ,6,692674.4679330774
level_one,male,UKK,6,457181.1155006637
level_one,male,UKL,6,266773.2480268536
level_one,male,UKM,6,308479.3643857758
level_one,female,UKC,6,305460.2806280872
level_one,female,UKD,6,745149.14841332
level_one,female,UKE,6,564808.4538685312
level_one,female,UKF,6,505439.16885813477
level_one,female,UKG,6,588991.323957437
level_one,female,UKH,6,661292.5109449099
level_one,female,UKI,6,522761.4112081931
level_one,female,UKJ,6,828376.997283755
level_one,female,UKK,6,555842.1862718562
level_one,female,UKL,6,315890.3819770443
level_one,female,UKM,6,405358.1942756743
level_two,male,UKC,6,293322.23234150565
level_two,male,UKD,6,720684.7508149493
