education,gender,nuts1,parameter_set,vote_intention,predicted_probability
level_four,female,UKF,1,libdem,0.0660014503536151
level_four,female,UKG,1,libdem,0.0494903552779359
level_four,female,UKH,1,libdem,0.0900394520026169
level_four,female,UKI,1,libdem,0.131977134943465
level_four,female,UKJ,1,libdem,0.134957466880998
level_four,female,UKK,1,libdem,0.213056747381996
level_four,female,UKL,1,libdem,0.0325918026825466
level_four,female,UKM,1,libdem,0.0389933771788182
no_qualifications,male,UKC,1,green,0.514927437921362
no_qualifications,male,UKD,1,green,0.440882326900702
no_qualifications,male,UKE,1,green,0.395655656929128
no_qualifications,male,UKF,1,green,0.274851332514443
no_qualifications,male,UKG,1,green,0.336864017484748
no_qualifications,male,UKH,1,green,0.240484515519068
no_qualifications,male,UKI,1,green,0.450343106854934
no_qualifications,male,UKJ,1,green,0.233053531265581
no_qualifications,male,UKK,1,green,0.264286061865594
no_qualifications,male,UKL,1,green,0.264362434404498
no_qualifications,male,UKM,1,green,0.225491560758708
no_qualifications,female,UKC,1,green,0.607010538989695
no_qualifications,female,UKD,1,green,0.532907483907377
no_qualifications,female,UKE,1,green,0.488412038128484
no_qualifications,female,UKF,1,green,0.371763320518105
no_qualifications,female,UKG,1,green,0.432552854238401
no_qualifications,female,UKH,1,green,0.32850353260967
no_qualifications,female,UKI,1,green,0.547087748619616
no_qualifications,female,UKJ,1,green,0.325781175706796
no_qualifications,female,UKK,1,green,0.367406116882693
no_qualifications,female,UKL,1,green,0.341590201548256
no_qualifications,female,UKM,1,green,0.305400852359445
level_one,male,UKC,1,green,0.542387682795125
level_one,male,UKD,1,green,0.468830601992066
level_one,male,UKE,1,green,0.426790464160749
level_one,male,UKF,1,green,0.300705255005184
level_one,male,UKG,1,green,0.368991195570269
level_one,male,UKH,1,green,0.264669914825812
level_one,male,UKI,1,green,0.496185440508437
level_one,male,UKJ,1,green,0.26165560341794
level_one,male,UKK,1,green,0.302563390500263
level_one,male,UKL,1,green,0.351228765195496
level_one,male,UKM,1,green,0.247218653101289
level_one,female,UKC,1,green,0.63414541519526
level_one,female,UKD,1,green,0.561371906378307
level_one,female,UKE,1,green,0.521289392823617
level_one,female,UKF,1,green,0.401694095110813
level_one,female,UKG,1,green,0.468263246026839
level_one,female,UKH,1,green,0.356920662292637
level_one,female,UKI,1,green,0.594461646473836
